Insert-Atom,Pt-Fold,Melting-point1,Melting-point2,Melting-point-Average,Density1,Density2,Density-Average,Ionization-energy1,Ionization-energy2,Ionization-energy-Average,Atomic-mass1,Atomic-mass2,Atomic-mass-Average,ID-Average,ID-1,ID-2,Radius-1,Radius-2,Radius-Average,Electronegativity-1,Electronegativity-2,Electronegativity-ave,Energy-slab,Force-1,Force-2,magnetization-1,magnetization-2,Distance,E-fermi,Formation-Energy,Work-function,p-center,d-center,mag,Bader-1,Bader-2,*O,*OH,delta G
Ti-Fe,1,1668,1538,1603,4.51,7.87,6.19,6.8,7.8,7.3,47.9,55.8,51.85,24,22,26,1.47,1.26,1.365,1.54,1.83,1.685,-195.79822,0.0467243,0.0346887,-0.32,0.231,2.739952411,3.5064,-16.5361234,5.35,0.376,-2.356,17.4804,-0.289869,0.270639,-3.9357476,-2.8263342,0.6164211
Ti-Ni,1,1668,1455,1561.5,4.51,8.91,6.71,6.8,7.6,7.2,47.9,58.7,53.3,25,22,28,1.47,1.24,1.355,1.54,1.91,1.725,-192.97073,0.089514,0.0156257,-0.101,0.194,2.742553852,3.4622,-16.26427223,5.491,0.429,-2.265,9.4734,-0.333338,0.520887,-4.3176376,-1.9113842,1.7644233
Ti-Cu,1,1668,1085,1376.5,4.51,8.92,6.715,6.8,7.7,7.25,47.9,63.5,55.7,25.5,22,29,1.47,1.28,1.375,1.54,1.9,1.72,-191.84254,0.0623107,0.011699,-0.051,0.119,2.741045653,3.505,-15.62411459,5.358,0.377,-2.306,14.4141,-0.33991,0.512093,-2.9574576,-1.9358142,0.3835703
Ti-Zn,1,1668,419.5,1043.75,4.51,7.14,5.825,6.8,9.3,8.05,47.9,65.4,56.65,26,22,30,1.47,1.34,1.405,1.54,1.65,1.595,-189.56923,0.0649287,0.0188323,0.001,0.11,2.740547841,3.4315,-13.58532012,5.426,0.254,-2.393,11.9299,-0.3064,0.317298,-4.0291876,-3.0356242,0.3502643
Ti-Ru,1,1668,2334,2001,4.51,12.37,8.44,6.8,7.3,7.05,47.9,101,74.45,33,22,44,1.47,1.34,1.405,1.54,2.2,1.87,-196.68395,0.0796997,0.004755,-0.055,0.109,2.740066809,3.6313,-18.6300993,5.399,1.236,-2.269,11.6084,-0.234901,-0.05219,-4.2884076,-2.9394142,0.6920343
Ti-Rh,1,1668,1964,1816,4.51,12.45,8.48,6.8,7.4,7.1,47.9,102.9,75.4,33.5,22,45,1.47,1.34,1.405,1.54,2.28,1.91,-194.65581,0.0798497,0.0377523,-0.064,0.141,2.742452606,3.5639,-17.4260866,5.464,1.342,-2.152,9.4589,-0.276297,0.102423,-3.9130476,-3.2013642,0.5073283
Ti-Pd,1,1668,1555,1611.5,4.51,12.02,8.265,6.8,8.3,7.55,47.9,106.4,77.15,34,22,46,1.47,1.37,1.42,1.54,2.2,1.87,-192.65866,0.0596137,0.0223693,-0.07,0.167,2.743363551,3.5618,-15.2149577,5.433,0.397,-2.236,12.0972,-0.303849,0.209904,-4.7867076,-2.8473342,1.2941453
Ti-Os,1,1668,3033,2350.5,4.51,22.61,13.56,6.8,8.4,7.6,47.9,190.2,119.05,49,22,76,1.47,1.35,1.41,1.54,2.2,1.87,-198.55815,0.0516227,0.027214,-0.046,0.084,2.740020185,3.583,-19.6600877,5.432,0.148,-2.408,11.423,-0.191034,-0.305214,-4.2602076,-2.9945642,0.6143503
Ti-Ir,1,1668,2466,2067,4.51,22.65,13.58,6.8,8.9,7.85,47.9,192.2,120.05,49.5,22,77,1.47,1.36,1.415,1.54,2.2,1.87,-196.53593,0.0598627,0.012388,-0.066,0.121,2.741748917,3.5928,-18.9891217,5.392,0.21,-2.361,14.5376,-0.723085,-0.113815,-3.8608576,-2.7773242,1.0002221
V-Cr,1,1910,1970,1940,6.11,7.14,6.625,6.7,7.4,7.05,50.9,52,51.45,23.5,23,24,1.34,1.28,1.31,1.63,1.66,1.645,-196.56841,0.0574467,0.021303,-1.171,0.099,2.739285748,3.5764,-14.2718118,5.339,1.136,-2.315,15.582,-0.076193,0.067144,-4.6729376,-3.0166142,0.9927013
V-Mn,1,1910,1246,1578,6.11,7.47,6.79,6.7,7.9,7.3,50.9,54.9,52.9,24,23,25,1.34,1.27,1.305,1.63,1.55,1.59,-196.95419,0.076101,0.032452,-1.42,0.214,2.739525929,3.5361,-14.9498768,5.373,1.24,-2.204,11.6225,-0.097183,0.12711,-3.9986176,-2.8695842,0.5512881
